Type,SiteID,Site_Number,County,Lab_Number,Date_BP,SD
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-126,982,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-222,1169,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-226,1169,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-229,1169,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-240,1181,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-249,1083,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-250,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-25-1,976,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-252,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-254,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-255,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-257,1079,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-258,1092,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-259,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-264,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-267,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-269,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-276,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-284,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-286,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-293,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-294,1100,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-301,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-303,1078,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-306,1092,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-309,1111,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-310,1092,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-311,1095,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-314,1092,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-316,1081,0
Tree-ring,Dendro - 130,5MT2108,"Montezuma, CO",PSM-328,1081,0
