Type,SiteID,Site_Number,County,Lab_Number,Date_BP,SD
Radiocarbon,Radiocarbon - 2330,5MT12069,"Montezuma, CO",Beta-155398,960,40
Radiocarbon,Radiocarbon - 2330,5MT12069,"Montezuma, CO",Beta-155399,2550,40
Radiocarbon,Radiocarbon - 2331,5MT123,"Montezuma, CO",Beta-201369,760,40
Radiocarbon,Radiocarbon - 2331,5MT123,"Montezuma, CO",Beta-201370,880,40
Radiocarbon,Radiocarbon - 2335,5MT13682,"Montezuma, CO",Beta-133591,7610,40
Radiocarbon,Radiocarbon - 2349,5MT5466,"Montezuma, CO",Beta-133589,900,40
Radiocarbon,Radiocarbon - 2348,5MT5454,"Montezuma, CO",Beta-147435,7950,40
Radiocarbon,Radiocarbon - 2344,5MT4654,"Montezuma, CO",Tx-3888,670,40
Radiocarbon,Radiocarbon - 2325,5MT10594,"Montezuma, CO",Beta-75286,1080,50
Radiocarbon,Radiocarbon - 2339,5MT2731,"Montezuma, CO",Beta-10866,2830,50
Radiocarbon,Radiocarbon - 2351,5MT7191,"Montezuma, CO",Beta-133588,7570,50
Radiocarbon,Radiocarbon - 2350,5MT5479,"Montezuma, CO",Beta-144127,2070,50
Radiocarbon,Radiocarbon - 2327,5MT10967,"Montezuma, CO",Beta-55054,1018,60
Radiocarbon,Radiocarbon - 2324,5MT10525,"Montezuma, CO",Beta-81721,2210,60
Radiocarbon,Radiocarbon - 2324,5MT10525,"Montezuma, CO",Beta-81722,2270,60
Radiocarbon,Radiocarbon - 2325,5MT10594,"Montezuma, CO",Beta-75282,1240,60
Radiocarbon,Radiocarbon - 2325,5MT10594,"Montezuma, CO",Beta-75283,920,60
Radiocarbon,Radiocarbon - 2325,5MT10594,"Montezuma, CO",Beta-75285,1030,60
Radiocarbon,Radiocarbon - 2325,5MT10594,"Montezuma, CO",Beta-75287,1580,60
Radiocarbon,Radiocarbon - 2326,5MT10595,"Montezuma, CO",Beta-75288,840,60
Radiocarbon,Radiocarbon - 2328,5MT11431,"Montezuma, CO",Beta-131049,6500,60
Radiocarbon,Radiocarbon - 2331,5MT123,"Montezuma, CO",Beta-201368,800,60
Radiocarbon,Radiocarbon - 2332,5MT13632,"Montezuma, CO",Beta-128517,2060,60
Radiocarbon,Radiocarbon - 2334,5MT13681,"Montezuma, CO",Beta-131050,7340,60
Radiocarbon,Radiocarbon - 2340,5MT2854,"Montezuma, CO",Tx-3883,1680,60
Radiocarbon,Radiocarbon - 2340,5MT2854,"Montezuma, CO",Tx-3884,1620,60
Radiocarbon,Radiocarbon - 2346,5MT4763,"Montezuma, CO",Tx-3875,1710,60
Radiocarbon,Radiocarbon - 2341,5MT2858,"Montezuma, CO",Tx-3877,2000,60
Radiocarbon,Radiocarbon - 2341,5MT2858,"Montezuma, CO",Tx-3878,1660,60
Radiocarbon,Radiocarbon - 2325,5MT10594,"Montezuma, CO",Beta-75284,1240,70
Radiocarbon,Radiocarbon - 2330,5MT12069,"Montezuma, CO",Beta-155397,820,70
Radiocarbon,Radiocarbon - 2339,5MT2731,"Montezuma, CO",Beta-10867,2650,70
Radiocarbon,Radiocarbon - 2345,5MT4683,"Montezuma, CO",Beta-10875,3110,70
Radiocarbon,Radiocarbon - 2347,5MT4950,"Montezuma, CO",CAIS-5315,960,70
Radiocarbon,Radiocarbon - 2337,5MT2192,"Montezuma, CO",Tx-3882,1510,70
Radiocarbon,Radiocarbon - 2343,5MT4614,"Montezuma, CO",Tx-3879,1660,70
