Lab_Number,Date_BP,SD,Site_Number,Site_ID,County
Beta-155398,960,40,5MT12069,2330,"Montezuma, CO"
Beta-155399,2550,40,5MT12069,2330,"Montezuma, CO"
Beta-201369,760,40,5MT123,2331,"Montezuma, CO"
Beta-201370,880,40,5MT123,2331,"Montezuma, CO"
Beta-133591,7610,40,5MT13682,2335,"Montezuma, CO"
Beta-133589,900,40,5MT5466,2349,"Montezuma, CO"
Beta-147435,7950,40,5MT5454,2348,"Montezuma, CO"
Tx-3888,670,40,5MT4654,2344,"Montezuma, CO"
Beta-75286,1080,50,5MT10594,2325,"Montezuma, CO"
Beta-10866,2830,50,5MT2731,2339,"Montezuma, CO"
Beta-133588,7570,50,5MT7191,2351,"Montezuma, CO"
Beta-144127,2070,50,5MT5479,2350,"Montezuma, CO"
Beta-55054,1018,60,5MT10967,2327,"Montezuma, CO"
Beta-81721,2210,60,5MT10525,2324,"Montezuma, CO"
Beta-81722,2270,60,5MT10525,2324,"Montezuma, CO"
Beta-75282,1240,60,5MT10594,2325,"Montezuma, CO"
Beta-75283,920,60,5MT10594,2325,"Montezuma, CO"
Beta-75285,1030,60,5MT10594,2325,"Montezuma, CO"
Beta-75287,1580,60,5MT10594,2325,"Montezuma, CO"
Beta-75288,840,60,5MT10595,2326,"Montezuma, CO"
Beta-131049,6500,60,5MT11431,2328,"Montezuma, CO"
Beta-201368,800,60,5MT123,2331,"Montezuma, CO"
Beta-128517,2060,60,5MT13632,2332,"Montezuma, CO"
Beta-131050,7340,60,5MT13681,2334,"Montezuma, CO"
Tx-3883,1680,60,5MT2854,2340,"Montezuma, CO"
Tx-3884,1620,60,5MT2854,2340,"Montezuma, CO"
Tx-3875,1710,60,5MT4763,2346,"Montezuma, CO"
Tx-3877,2000,60,5MT2858,2341,"Montezuma, CO"
Tx-3878,1660,60,5MT2858,2341,"Montezuma, CO"
Beta-75284,1240,70,5MT10594,2325,"Montezuma, CO"
Beta-155397,820,70,5MT12069,2330,"Montezuma, CO"
Beta-10867,2650,70,5MT2731,2339,"Montezuma, CO"
Beta-10875,3110,70,5MT4683,2345,"Montezuma, CO"
CAIS-5315,960,70,5MT4950,2347,"Montezuma, CO"
Tx-3882,1510,70,5MT2192,2337,"Montezuma, CO"
Tx-3879,1660,70,5MT4614,2343,"Montezuma, CO"
Beta-70243,7350,80,5MT11431,2328,"Montezuma, CO"
Beta-75290,1620,80,5MT11668,2329,"Montezuma, CO"
Tx-3873,1630,80,5MT4215,2342,"Montezuma, CO"
Tx-3874,1420,80,5MT4215,2342,"Montezuma, CO"
Beta-144125,1230,90,5MT13679,2333,"Montezuma, CO"
X-3876,3710,90,5MT2242,2338,"Montezuma, CO"
Tx-3876,3710,90,5MT2242,2338,"Montezuma, CO"
Tx-3880,1590,90,5MT4614,2343,"Montezuma, CO"
Tx-3887,580,90,5MT4654,2344,"Montezuma, CO"
I-4107,1010,100,5MT-?,2323,"Montezuma, CO"
Beta-144126,4300,120,5MT13684,2336,"Montezuma, CO"
