labnumber,Sbox,date,sd,diff,Lat,Long,Country,Site,SiteID,Source
WIS-500,32,1020,55,0.053921569,42.816667,-95.6,USA,13CK15,6312,CARD
Beta-38700,2,4570,70,0.015317287,29.333333,-98.416667,USA,41BX831,7,TARL/CARD
WIS-2155,32,830,50,0.060240964,40.916667,-98.683333,USA,25HL28,4768,CARD
WIS-581,32,720,60,0.083333333,43.45,-97.866667,USA,39HT1,6809,CARD
ISGS-3024,32,940,70,0.074468085,42.805556,-95.558333,USA,13CK21,6309,CARD
Beta-124388,2,3200,50,0.015625,29.411281,-99.487039,USA,41WB437,9,TARL
WIS-889,32,6080,70,0.011513158,42.7225,-95.573333,USA,13CK405,6260,CARD
Beta-78656,2,7910,60,0.007585335,29.333333,-98.416667,USA,41BX831,7,TARL/CARD
Beta-78657,2,7740,50,0.006459948,29.333333,-98.416667,USA,41BX831,7,TARL/CARD
Beta-60262,10,1730,80,0.046242775,33.166667,-101.5,USA,41GR559,749,TARL
ISGS-3022,32,990,90,0.090909091,42.805556,-95.558333,USA,13CK21,6309,CARD
WIS-891,32,7145,75,0.010496851,42.7225,-95.573333,USA,13CK405,6260,CARD
ISGS-3065,32,990,70,0.070707071,42.805556,-95.558333,USA,13CK21,6309,CARD
ISGS-2979,32,840,70,0.083333333,42.805556,-95.558333,USA,13CK21,6309,CARD
ISGS-3023,32,960,70,0.072916667,42.805556,-95.558333,USA,13CK21,6309,CARD
ISGS-3064,32,980,70,0.071428571,42.805556,-95.558333,USA,13CK21,6309,CARD
M-129,2,4650,150,0.032258065,26.583333,-99.166667,USA,418B94,1,TARL
Tx-4095,2,7770,810,0.104247104,28.786667,-97.172222,USA,41GD30,2,TARL
Beta-47523,2,6985,65,0.009305655,29.333333,-98.416667,USA,41BX831,7,TARL/CARD
Beta-47524,2,6900,70,0.010144928,29.333333,-98.416667,USA,41BX831,7,TARL/CARD
Beta-47525,2,6930,65,0.009379509,29.333333,-98.416667,USA,41BX831,7,TARL/CARD
Beta-47529,2,7645,70,0.009156311,29.333333,-98.416667,USA,41BX831,7,TARL/CARD
Beta-47530,2,7000,70,0.01,29.333333,-98.416667,USA,41BX831,7,TARL/CARD
C-698,2,1212,300,0.247524752,29.366667,-99.466667,USA,41UV2,8,TARL
Tx-12,2,1765,145,0.082152975,29.366667,-99.466667,USA,41UV2,8,TARL
